1,100.25
2,300.50
3,150.75
4,500.30
5,1100.12
6,1400.88
7,1200.67
8,1600.45
9,1800.23
10,180.15
11,160.72
12,1450.89
13,1350.34
14,1150.78
15,1900.40
16,1050.95
17,1550.28
18,150.55
19,1100.61
20,1900.85
21,500.20
22,1750.73
23,1850.29
24,1050.47
25,180.93
26,1950.60
27,190.80
28,1350.18
29,1950.70
30,1050.35
31,140.42
32,1300.24
33,1250.11
34,1650.95
35,1100.68
36,1150.99
37,1850.37
38,1750.62
39,1550.47
40,1800.82
41,1050.19
42,1650.59
43,1450.87
44,1350.41
45,1250.68
46,1950.73
47,1400.27
48,1100.79
49,150.63
50,1900.79
51,1150.64
52,1550.71
53,1850.24
54,1600.96
55,1050.40
56,1950.50
57,150.70
58,1450.60
59,1250.32
60,1900.29
61,1100.88
62,1750.48
63,1650.19
64,1800.58
65,1200.47
66,1850.90
67,140.74
68,1350.55
69,1050.87
70,1300.36
71,1100.24
72,1600.73
73,150.92
74,1950.67
75,1550.21
76,1800.61
77,190.46
78,1650.74
79,1150.93
80,1750.35
81,1950.14
82,1250.50
83,1450.30
84,1550.60
85,1050.33
86,1100.15
87,150.40
88,1800.88
89,1600.19
90,1300.52
91,1100.97
92,1950.95
93,140.87
94,1450.64
95,1350.11
96,1250.73
97,1850.45
98,1650.20
99,1200.18
100,1900.84
